plate,raw_track,expected_stage_flow,actual_stage_flow,expected_report_sequence,actual_report_sequence,status
0037BK,2026-03-18 10:16:48 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 10:16:48 → ∅],Drive In [2026-03-18T10:16:48.211 → ∅],DIFF
0542KA,2026-03-19 10:19:50 Post In (Post 1) ; 2026-03-19 10:23:57 Post Out (Post 1) ; 2026-03-19 10:46:27 Post Out (Post 1) ; 2026-03-19 13:37:10 Post In (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-19 10:19:49] ; Post 1 [2026-03-19 10:19:50 → ∅],Service [∅ → 2026-03-19T10:19:49.204] ; Post 1 [2026-03-19T10:19:50.204 → ∅],DIFF
1163KK,2026-03-18 15:55:07 Post In (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-18 15:55:06] ; Post 1 [2026-03-18 15:55:07 → ∅],Service [∅ → 2026-03-18T15:55:06.697] ; Post 1 [2026-03-18T15:55:07.697 → ∅],DIFF
16BP2782,2026-03-19 12:18:35 Service Out,Service* → Backyard,Service → Backyard,Service [∅ → 2026-03-19 12:18:35] ; Backyard [2026-03-19 12:18:35 → ∅],Service [∅ → 2026-03-19T12:18:35.128] ; Backyard [2026-03-19T12:18:35.128 → ∅],DIFF
4444PO,2026-03-18 16:59:37 Post In (Post 1) ; 2026-03-19 09:03:21 Post In (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-18 16:59:36] ; Post 1 [2026-03-18 16:59:37 → ∅],Service [∅ → 2026-03-18T16:59:36.927] ; Post 1 [2026-03-18T16:59:37.927 → ∅],DIFF
47071KK,2026-03-19 11:52:02 Service -> Drive-In ; 2026-03-19 12:00:39 Service -> Drive-In ; 2026-03-19 12:00:40 Service -> Drive-In,Test-Drive,Test-Drive,Test-Drive [2026-03-19 11:52:02 → 2026-03-19 12:00:38],Test-Drive [2026-03-19T11:52:02.778 → 2026-03-19T12:00:38.565],DIFF
6050PH,2026-03-19 10:52:29 Service Out ; 2026-03-19 10:53:41 Service Out ; 2026-03-19 10:55:07 Service Out ; 2026-03-19 10:56:35 Service Out ; 2026-03-19 11:09:05 Service Out ; 2026-03-19 11:10:17 Service Out ; 2026-03-19 11:11:19 Service Out,Service* → Backyard → Service* → Service* → Service* → Service* → Service* → Service*,Service → Backyard,Service [∅ → 2026-03-19 10:52:29] ; Backyard [2026-03-19 10:52:29 → ∅] ; Service [∅ → 2026-03-19 10:53:41] ; Service [∅ → 2026-03-19 10:55:07] ; Service [∅ → 2026-03-19 10:56:35] ; Service [∅ → 2026-03-19 11:09:05] ; Service [∅ → 2026-03-19 11:10:17] ; Service [∅ → 2026-03-19 11:11:19],Service [∅ → 2026-03-19T10:52:29.641] ; Backyard [2026-03-19T10:52:29.641 → ∅],DIFF
7726AC,2026-03-18 10:44:43 Service In,Service,Service,Service [2026-03-18 10:44:43 → ∅],Service [2026-03-18T10:44:43.823 → ∅],DIFF
7726AO,2026-03-18 17:52:03 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 17:52:03 → ∅],Drive In [2026-03-18T17:52:03.984 → ∅],DIFF
777477,2026-03-19 12:40:39 Post In (Post 2),Service* → Post 2,Service → Post 2,Service [∅ → 2026-03-19 12:40:38] ; Post 2 [2026-03-19 12:40:39 → ∅],Service [∅ → 2026-03-19T12:40:38.127] ; Post 2 [2026-03-19T12:40:39.127 → ∅],DIFF
9725AO,2026-03-18 17:52:04 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 17:52:04 → ∅],Drive In [2026-03-18T17:52:04.173 → ∅],DIFF
9726AC,2026-03-18 10:43:13 Service In,Service,Service,Service [2026-03-18 10:43:13 → ∅],Service [2026-03-18T10:43:13.944 → ∅],DIFF
A1163KK,2026-03-18 14:40:38 Post In (Post 1) ; 2026-03-18 14:42:11 Post Out (Post 1) ; 2026-03-18 15:02:52 Post Out (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-18 14:40:37] ; Post 1 [2026-03-18 14:40:38 → ∅],Service [∅ → 2026-03-18T14:40:37.612] ; Post 1 [2026-03-18T14:40:38.612 → ∅],DIFF
A3370BH,2026-03-17 17:55:07 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 17:55:07 → ∅],Backyard [2026-03-17T17:55:07.015 → ∅],DIFF
